name,city,state,industry,type
Emma's Eco-Clean,San Francisco,California,Cleaning Services,Worker Co-op
Enchanted Gardens Landscaping Coop,Austin,Texas,Build & Design - Landscaping,Worker Co-op
Firebrand Artisan Breads,Oakland,California,Food & Beverage - Bakeries,Worker Co-op
Food4All,Brattleboro,Vermont,Food & Beverage - Grocery,Worker Co-op
Fourth Economy,Pittsburgh,Pennsylvania,Business Support Services - Consulting,Democratic Workplace
Fractured Atlas,New York,New York,Arts & Entertainment,Democratic Workplace
Full Cycle Bike Shop,Minneapolis,Minnesota,Transportation - Service & Repair,Worker Co-op
Full Spectrum Doula Coop,Brooklyn,New York,Health - Clinics,Worker Co-op
Gem City Shine,Dayton,Ohio,Cleaning Services,Worker Co-op
Ginger Moon,Portland,Oregon,"Food & Beverage - Restaurants, Cafes, Breweries, and Bars",Worker Co-op
Good Bike Co-op,Atlanta,Georgia,Transportation - Service & Repair,Worker Co-op
Good Work Institute,West Tisbury,Massachusetts,Education & Childcare,Democratic Workplace
Grassroots Economic Organizing,Greenfield,Massachusetts,Media - Digital Production,Democratic Workplace
Green Cab Madison,Madison,Wisconsin,Transportation - Service & Repair,Worker Co-op
Greenbelt Movement,San Francisco,California,Build & Design - Landscaping,Democratic Workplace
Greenstar Food Coop,Ithaca,New York,Food & Beverage - Grocery,Democratic Workplace
HEAL Food Alliance,Oakland,California,Food & Beverage - Agriculture,Democratic Workplace
Home Green Home Cleaning,San Francisco,California,Cleaning Services,Worker Co-op
Honest Weight Food Coop,Albany,New York,Food & Beverage - Grocery,Democratic Workplace
Hub Bicycle,Cambridge,Massachusetts,Transportation - Service & Repair,Worker Co-op
Immigrant Workers' Art Collective,Brooklyn,New York,Arts & Entertainment,Worker Co-op
Jackson Energy Coop,Jackson,Mississippi,Energy,Worker Co-op
Kensington Corridor Trust,Philadelphia,Pennsylvania,Real Estate,Democratic Workplace
La Maquila Worker Center,Chicago,Illinois,Business Support Services - General,Worker Co-op
Mandela Grocery Cooperative,Oakland,California,Food & Beverage - Grocery,Worker Co-op
Moxie Jean,Chicago,Illinois,Retail,Worker Co-op
Natural Bridges Coop,Santa Cruz,California,Food & Beverage - Grocery,Worker Co-op
NorthStar Cooperative,Minneapolis,Minnesota,Business Support Services - General,Worker Co-op
Obran Cooperative,Los Angeles,California,Business Support Services - General,Worker Co-op
Pittsburgh Center for Creative Reuse,Pittsburgh,Pennsylvania,Retail,Democratic Workplace
